iter,train_token_loss,train_val_loss,dt,tok_sec,epoch
100,10.449469566345215,10.44860553741455,210.73126792907715,1243972.964127118,0
200,9.596672058105469,9.60299301147461,147.27020263671875,1780020.6376210952,0
300,8.423401832580566,8.419515609741211,144.5457935333252,1813570.5895831718,0
400,7.463830471038818,7.466190814971924,148.32568168640137,1767354.0887830863,0
500,6.966192245483398,6.971900463104248,146.23618125915527,1792606.9851033408,0
600,6.866520881652832,6.9108076095581055,145.46704292297363,1802085.1646706539,0
700,6.8601813316345215,6.881387233734131,147.0801830291748,1782320.327599818,0
800,6.709572792053223,6.703265190124512,149.57237243652344,1752623.1330672414,0
900,6.45181131362915,6.447444438934326,139.53471183776855,1878700.9809056285,0
1000,6.259581565856934,6.262969970703125,142.0745849609375,1845115.367200086,0
1100,6.09354305267334,6.102503776550293,152.92668342590332,1714180.9011179865,0
1200,5.9675164222717285,5.976743698120117,143.31746101379395,1829114.1787305966,0
1300,5.891159534454346,5.882217884063721,143.4311866760254,1827663.8859031175,0
1400,5.7755351066589355,5.807327747344971,144.17648315429688,1818216.0797989152,0
1500,5.7483978271484375,5.749548435211182,143.29242706298828,1829433.7347274264,0
1600,5.70048713684082,5.700414657592773,145.28656005859375,1804323.8128446147,0
1700,5.681299686431885,5.654543399810791,144.7622776031494,1810858.493941635,0
1800,5.589959621429443,5.612380504608154,143.73207092285156,1823837.9111694999,0
1900,5.598620891571045,5.578883647918701,144.2244052886963,1817611.9324275402,0
2000,5.5394487380981445,5.539585590362549,147.17841148376465,1781130.7878459967,0
2100,5.475860595703125,5.519810199737549,142.55905151367188,1838845.0064488507,0
2200,5.5031585693359375,5.491949558258057,140.9599781036377,1859705.1696990507,0
2300,5.4884514808654785,5.468477249145508,143.2328224182129,1830195.031936108,0
2400,5.405333518981934,5.446298599243164,142.98605918884277,1833353.5554944167,0
2500,5.428709983825684,5.428737640380859,144.09685134887695,1819220.875030196,0
2600,5.425928592681885,5.405750274658203,145.21408081054688,1805224.3868967872,0
