iter,train_token_loss,train_val_loss,dt,tok_sec,epoch
100,10.463414192199707,10.462594032287598,161.98039054870605,1618368.7365612052,0
200,9.843725204467773,9.847557067871094,164.56961631774902,1592906.4299077876,0
300,8.525787353515625,8.522026062011719,146.5456485748291,1788821.4529013743,0
400,7.471977233886719,7.473493576049805,146.15106582641602,1793650.9632529747,0
500,6.8032612800598145,6.808760166168213,143.69916915893555,1824255.502201693,0
600,6.370322227478027,6.424532413482666,139.6782398223877,1876770.500067423,0
700,6.044475078582764,6.071176052093506,143.09334754943848,1831978.9458376446,0
800,5.8008527755737305,5.796695709228516,146.34108543395996,1791321.9600813948,0
900,5.629302501678467,5.625731945037842,138.59891891479492,1891385.604249595,0
1000,5.49799108505249,5.503289699554443,139.83583450317383,1874655.3838032852,0
1100,5.411732196807861,5.416643142700195,139.8327350616455,1874696.9361961873,0
1200,5.346951961517334,5.349158763885498,141.8778896331787,1847673.3808049015,0
1300,5.304263114929199,5.295427322387695,143.0075168609619,1833078.4685595774,0
1400,5.217249393463135,5.250326633453369,159.196138381958,1646673.1081820591,0
1500,5.213215351104736,5.2112226486206055,145.05863189697266,1807158.9161697512,0
1600,5.176698207855225,5.174861907958984,146.3785171508789,1790863.8856465283,0
1700,5.166332721710205,5.1431884765625,148.57959747314453,1764333.7608811466,0
1800,5.083016395568848,5.1104631423950195,145.1878547668457,1805550.4740459996,0
1900,5.104986667633057,5.084514617919922,153.80239486694336,1704420.794141629,0
2000,5.048836708068848,5.048231601715088,147.21441268920898,1780695.2132698044,0
2100,4.991030216217041,5.034229278564453,141.53456687927246,1852155.3128685951,0
2200,5.017271041870117,5.005167007446289,142.13943481445312,1844273.5497168622,0
2300,5.004842758178711,4.982319355010986,140.87247848510742,1860860.2817172199,0
2400,4.920359134674072,4.9599928855896,143.3427333831787,1828791.6925599985,0
2500,4.941559314727783,4.939535617828369,142.35401153564453,1841493.591730366,0
2600,4.934430122375488,4.9170241355896,143.32103729248047,1829068.5369868847,0
2700,4.866195201873779,4.902451992034912,143.1863307952881,1830789.2837535196,0
2800,4.886678695678711,4.880552291870117,143.94402503967285,1821152.3536857448,0
2900,4.875385284423828,4.858877658843994,143.9683437347412,1820844.7301650916,0
3000,4.857402801513672,4.84272575378418,146.51966094970703,1789138.7292383995,0
3100,4.817463397979736,4.826565742492676,144.92344856262207,1808844.6183139673,0
3200,4.830310344696045,4.808768272399902,143.4931755065918,1826874.3379224862,0
3300,4.80341100692749,4.7975664138793945,144.43111419677734,1815010.5775881992,0
3400,4.7757134437561035,4.782334804534912,146.45791053771973,1789893.0760212212,0
3500,4.788176536560059,4.763429164886475,146.38018608093262,1790843.4674011301,0
3600,4.767847061157227,4.7504682540893555,150.8629322052002,1737630.2857711788,0
3700,4.743283271789551,4.742300033569336,146.06046676635742,1794763.5373460306,0
3800,4.701135158538818,4.728531360626221,145.97821235656738,1795774.833573693,0
3900,4.70750617980957,4.713281631469727,146.83246612548828,1785327.2298509402,0
4000,4.677741527557373,4.6993727684021,146.80862426757812,1785617.1686631155,0
4100,4.674262046813965,4.693885803222656,141.5414810180664,1852064.8372086755,0
4200,4.681845188140869,4.681389331817627,141.48259162902832,1852835.7233330132,0
4300,4.694477558135986,4.672066688537598,145.7052230834961,1799139.347597573,0
4400,4.653145790100098,4.659178256988525,143.75066757202148,1823601.9660128637,0
4500,4.615344524383545,4.648209095001221,141.48402214050293,1852816.989749371,0
